route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
101000,平日,101000平日01,市役所,赤池線1便,,,101000-A
101000,平日,101000平日02,日進駅,赤池線2便,,,101000-B
101000,平日,101000平日03,日進駅,赤池線3便,,,101000-C
101000,平日,101000平日04,日進駅,赤池線4便,,,101000-C
101000,平日,101000平日05,市役所,赤池線5便,,,101000-D
101000,平日,101000平日06,日進駅,赤池線6便,,,101000-B
101000,平日,101000平日07,日進駅,赤池線7便,,,101000-C
101000,平日,101000平日08,日進駅,赤池線8便,,,101000-C
101000,平日,101000平日09,日進駅,赤池線9便,,,101000-C
101000,平日,101000平日10,日進駅,赤池線10便,,,101000-C
101000,平日,101000平日11,市役所,赤池線11便,,,101000-D
101000,土日祝,101000土日祝01,日進駅,赤池線1便,,,101000-B
101000,土日祝,101000土日祝02,日進駅,赤池線2便,,,101000-C
101000,土日祝,101000土日祝03,日進駅,赤池線3便,,,101000-C
101000,土日祝,101000土日祝04,市役所,赤池線4便,,,101000-D
101000,土日祝,101000土日祝05,日進駅,赤池線5便,,,101000-B
101000,土日祝,101000土日祝06,日進駅,赤池線6便,,,101000-C
101000,土日祝,101000土日祝07,日進駅,赤池線7便,,,101000-C
101000,土日祝,101000土日祝08,日進駅,赤池線8便,,,101000-C
111000,平日,111000平日01,日進駅,米野木線1便,,,111000-A
111000,平日,111000平日02,日進駅,米野木線2便,,,111000-B
111000,平日,111000平日03,日進駅,米野木線3便,,,111000-B
111000,平日,111000平日04,日進駅,米野木線4便,,,111000-B
111000,平日,111000平日05,市役所,米野木線5便,,,111000-C
111000,平日,111000平日06,日進駅,米野木線6便,,,111000-A
111000,平日,111000平日07,日進駅,米野木線7便,,,111000-B
111000,平日,111000平日08,市役所,米野木線8便,,,111000-C
111000,平日,111000平日09,市役所,米野木線9便,,,111000-D
111000,平日,111000平日10,市役所,米野木線10便,,,111000-D
111000,平日,111000平日11,市役所,米野木線11便,,,111000-D
111000,土日祝,111000土日祝01,日進駅,米野木線1便,,,111000-A
111000,土日祝,111000土日祝02,日進駅,米野木線2便,,,111000-B
111000,土日祝,111000土日祝03,日進駅,米野木線3便,,,111000-B
111000,土日祝,111000土日祝04,市役所,米野木線4便,,,111000-C
111000,土日祝,111000土日祝05,日進駅,米野木線5便,,,111000-A
111000,土日祝,111000土日祝06,日進駅,米野木線6便,,,111000-B
111000,土日祝,111000土日祝07,市役所,米野木線7便,,,111000-C
111000,土日祝,111000土日祝08,市役所,米野木線8便,,,111000-D
121000,平日,121000平日01,市役所,三本木線1便,,,121000
121000,平日,121000平日02,市役所,三本木線2便,,,121000
121000,平日,121000平日03,市役所,三本木線3便,,,121000
121000,平日,121000平日04,市役所,三本木線4便,,,121000
121000,平日,121000平日05,市役所,三本木線5便,,,121000
121000,平日,121000平日06,市役所,三本木線6便,,,121000
121000,平日,121000平日07,市役所,三本木線7便,,,121000
121000,平日,121000平日08,市役所,三本木線8便,,,121000
121000,平日,121000平日09,市役所,三本木線9便,,,121000
121000,平日,121000平日10,市役所,三本木線10便,,,121000
121000,平日,121000平日11,市役所,三本木線11便,,,121000
121000,土日祝,121000土日祝01,市役所,三本木線1便,,,121000
121000,土日祝,121000土日祝02,市役所,三本木線2便,,,121000
121000,土日祝,121000土日祝03,市役所,三本木線3便,,,121000
121000,土日祝,121000土日祝04,市役所,三本木線4便,,,121000
121000,土日祝,121000土日祝05,市役所,三本木線5便,,,121000
121000,土日祝,121000土日祝06,市役所,三本木線6便,,,121000
121000,土日祝,121000土日祝07,市役所,三本木線7便,,,121000
121000,土日祝,121000土日祝08,市役所,三本木線8便,,,121000
131000,平日,131000平日01,市役所,梅森線1便,,,131000
131000,平日,131000平日02,市役所,梅森線2便,,,131000
131000,平日,131000平日03,市役所,梅森線3便,,,131000
131000,平日,131000平日04,市役所,梅森線4便,,,131000
131000,平日,131000平日05,市役所,梅森線5便,,,131000
131000,平日,131000平日06,市役所,梅森線6便,,,131000
131000,平日,131000平日07,市役所,梅森線7便,,,131000
131000,平日,131000平日08,市役所,梅森線8便,,,131000
131000,平日,131000平日09,市役所,梅森線9便,,,131000
131000,平日,131000平日10,市役所,梅森線10便,,,131000
131000,平日,131000平日11,市役所,梅森線11便,,,131000
131000,土日祝,131000土日祝01,市役所,梅森線1便,,,131000
131000,土日祝,131000土日祝02,市役所,梅森線2便,,,131000
131000,土日祝,131000土日祝03,市役所,梅森線3便,,,131000
131000,土日祝,131000土日祝04,市役所,梅森線4便,,,131000
131000,土日祝,131000土日祝05,市役所,梅森線5便,,,131000
131000,土日祝,131000土日祝06,市役所,梅森線6便,,,131000
131000,土日祝,131000土日祝07,市役所,梅森線7便,,,131000
131000,土日祝,131000土日祝08,市役所,梅森線8便,,,131000
141000,平日,141000平日01,市役所,五色園線1便,,,141000
141000,平日,141000平日02,市役所,五色園線2便,,,141000
141000,平日,141000平日03,市役所,五色園線3便,,,141000
141000,平日,141000平日04,市役所,五色園線4便,,,141000
141000,平日,141000平日05,市役所,五色園線5便,,,141000
141000,平日,141000平日06,市役所,五色園線6便,,,141000
141000,平日,141000平日07,市役所,五色園線7便,,,141000
141000,平日,141000平日08,市役所,五色園線8便,,,141000
141000,平日,141000平日09,市役所,五色園線9便,,,141000
141000,平日,141000平日10,市役所,五色園線10便,,,141000
141000,平日,141000平日11,市役所,五色園線11便,,,141000
141000,土日祝,141000土日祝01,市役所,五色園線1便,,,141000
141000,土日祝,141000土日祝02,市役所,五色園線2便,,,141000
141000,土日祝,141000土日祝03,市役所,五色園線3便,,,141000
141000,土日祝,141000土日祝04,市役所,五色園線4便,,,141000
141000,土日祝,141000土日祝05,市役所,五色園線5便,,,141000
141000,土日祝,141000土日祝06,市役所,五色園線6便,,,141000
141000,土日祝,141000土日祝07,市役所,五色園線7便,,,141000
141000,土日祝,141000土日祝08,市役所,五色園線8便,,,141000
151000,平日,151000平日01,市役所,岩崎線1便,,,151000
151000,平日,151000平日02,市役所,岩崎線2便,,,151000
151000,平日,151000平日03,市役所,岩崎線3便,,,151000
151000,平日,151000平日04,市役所,岩崎線4便,,,151000
151000,平日,151000平日05,市役所,岩崎線5便,,,151000
151000,平日,151000平日06,市役所,岩崎線6便,,,151000
151000,平日,151000平日07,市役所,岩崎線7便,,,151000
151000,平日,151000平日08,市役所,岩崎線8便,,,151000
151000,平日,151000平日09,市役所,岩崎線9便,,,151000
151000,平日,151000平日10,市役所,岩崎線10便,,,151000
151000,平日,151000平日11,市役所,岩崎線11便,,,151000
151000,土日祝,151000土日祝01,市役所,岩崎線1便,,,151000
151000,土日祝,151000土日祝02,市役所,岩崎線2便,,,151000
151000,土日祝,151000土日祝03,市役所,岩崎線3便,,,151000
151000,土日祝,151000土日祝04,市役所,岩崎線4便,,,151000
151000,土日祝,151000土日祝05,市役所,岩崎線5便,,,151000
151000,土日祝,151000土日祝06,市役所,岩崎線6便,,,151000
151000,土日祝,151000土日祝07,市役所,岩崎線7便,,,151000
151000,土日祝,151000土日祝08,市役所,岩崎線8便,,,151000
161000,平日,161000平日01,市役所,循環線1便,,,161000
161000,平日,161000平日02,市役所,循環線2便,,,161000
161000,平日,161000平日03,市役所,循環線3便,,,161000
161000,平日,161000平日04,市役所,循環線4便,,,161000
161000,平日,161000平日05,市役所,循環線5便,,,161000
161000,平日,161000平日06,市役所,循環線6便,,,161000
161000,平日,161000平日07,市役所,循環線7便,,,161000
161000,平日,161000平日08,市役所,循環線8便,,,161000
161000,平日,161000平日09,市役所,循環線9便,,,161000
161000,平日,161000平日10,市役所,循環線10便,,,161000
161000,平日,161000平日11,市役所,循環線11便,,,161000
161000,平日,161000平日12,市役所,循環線12便,,,161000
161000,平日,161000平日13,市役所,循環線13便,,,161000
161000,平日,161000平日14,市役所,循環線14便,,,161000
161000,平日,161000平日15,市役所,循環線15便,,,161000
161000,平日,161000平日16,市役所,循環線16便,,,161000
161000,平日,161000平日17,市役所,循環線17便,,,161000
161000,平日,161000平日18,市役所,循環線18便,,,161000
161000,平日,161000平日19,市役所,循環線19便,,,161000
161000,平日,161000平日20,市役所,循環線20便,,,161000
161000,平日,161000平日21,市役所,循環線21便,,,161000
161000,土日祝,161000土日祝01,市役所,循環線1便,,,161000
161000,土日祝,161000土日祝02,市役所,循環線2便,,,161000
161000,土日祝,161000土日祝03,市役所,循環線3便,,,161000
161000,土日祝,161000土日祝04,市役所,循環線4便,,,161000
161000,土日祝,161000土日祝05,市役所,循環線5便,,,161000
161000,土日祝,161000土日祝06,市役所,循環線6便,,,161000
161000,土日祝,161000土日祝07,市役所,循環線7便,,,161000
161000,土日祝,161000土日祝08,市役所,循環線8便,,,161000
161000,土日祝,161000土日祝09,市役所,循環線9便,,,161000
161000,土日祝,161000土日祝10,市役所,循環線10便,,,161000
161000,土日祝,161000土日祝11,市役所,循環線11便,,,161000
161000,土日祝,161000土日祝12,市役所,循環線12便,,,161000
161000,土日祝,161000土日祝13,市役所,循環線13便,,,161000
161000,土日祝,161000土日祝14,市役所,循環線14便,,,161000
161000,土日祝,161000土日祝15,市役所,循環線15便,,,161000
161000,土日祝,161000土日祝16,市役所,循環線16便,,,161000
161000,土日祝,161000土日祝17,市役所,循環線17便,,,161000
161000,土日祝,161000土日祝18,市役所,循環線18便,,,161000
161000,土日祝,161000土日祝19,市役所,循環線19便,,,161000
161000,土日祝,161000土日祝20,市役所,循環線20便,,,161000
161000,土日祝,161000土日祝21,市役所,循環線21便,,,161000
